pyear       pD       pR       pO   pTotal  gyear       gD       gR      gO    gTotal     pop
 1912     #N/A     #N/A     #N/A     #N/A   1912     #N/A     #N/A     #N/A    29304         
 1914     #N/A     #N/A     #N/A     #N/A   1914     #N/A     #N/A     #N/A    69927         
 1916     #N/A     #N/A     #N/A     #N/A   1916     #N/A     #N/A     #N/A    80982         
 1918     #N/A     #N/A     #N/A     #N/A   1918     #N/A     #N/A     #N/A    79357         
 1920     #N/A     #N/A     #N/A     #N/A   1920     #N/A     #N/A     #N/A    90272   334162
 1922     #N/A     #N/A     #N/A     #N/A   1922     #N/A     #N/A     #N/A    92295         
 1923     #N/A     #N/A     #N/A     #N/A   1924     #N/A     #N/A     #N/A    98691         
 1926    72054    28221     1638   101913   1926    75490    30801     2012   108489         
 1928     #N/A     #N/A     #N/A     #N/A   1928    78223    39000     2305   119528         
 1930    83621    39207     1982   124810   1930    88349    42237     2559   133145   435573
 1932     #N/A     #N/A     #N/A     #N/A   1932   116646    33577     2170   152393         
 1934     #N/A     #N/A     #N/A     #N/A   1934   128312    18033     1147   147492         
 1936   132777    21774      625   155176   1936   142999    22655     #N/A   165654         
 1938   155619    21595      619   177833   1938   157988    21852     #N/A   179840         
 1940   158382    20872     1093   180347   1940   167017    23464     1282   191763   499261
 1942     #N/A     #N/A     #N/A   179065   1942     #N/A     #N/A     #N/A   179749         
 1944     #N/A     #N/A     #N/A   148011   1944     #N/A     #N/A     #N/A   181088         
 1946   148677    26274     4778   179729   1946   162498    30697     5060   198255         
 1948   186540    39502     3488   229530   1948   193960    43082     3968   241010         
 1950   216233    46576     3893   266702   1950   225114    50191     4240   278533   749587
 1952   226507    74863     4511   305881   1952   231108    78891    20138   330137         
 1954   203303    82315     3869   289487   1954   215376    87871     4298   307545         
 1956   227737    95423     4531   327691   1956   250616   111107     5982   367705         
 1958   250561   109215     5734   365510   1958   267881   117047     6662   391590         
 1960   275086   128185     6864   410135   1960   314590   152957     9582   477129  1302161
 1962   310985   162380    10250   483615   1962   326003   173282    10148   509433         
 1964   324705   181351     9851   515907   1964   365276   205605    13403   584284         
 1966   338938   202681    11525   553144   1966   351266   213897    12509   577671         
 1968   307316   219133    11280   537729   1968   343509   253928    17281   614718         
 1970   316789   251157    17059   585005   1970   335327   263574    19510   618411  1775399
 1972   424551   332221    35087   791859   1972   455985   362196    43631   861812         
 1974   444706   358167    48524   851397   1974   466908   370759    53127   890794         
 1976   470191   369353    54567   894111   1976   510805   399227    69622   979654         
 1978   476357   389539    64264   930160   1978   496206   404421    68803   969430         
 1980   481380   434534    75224   991138   1980   531977   490403    98301  1120681  2716546
 1982   510368   488637    91655  1090660   1982   535530   508606    98023  1142159         
 1984   622949   587688   134964  1345601   1984   663851   647544   149733  1461128         
 1986   669741   702274   176244  1548259   1986   687605   726199   182275  1596079         
 1988   734964   776282   199558  1710804   1988   767181   821323   209212  1797716         
 1990   744083   827615   198872  1770570   1990   779351   871073   208517  1858941  3665228
 1992   762386   824345   208756  1795487   1992   833997   889644   239851  1963492         
 1994   862054   914898   264102  2041054   1994   873413   933642   267978  2075033         
 1996   880369   985424   301766  2167559   1996   911024  1012282   314459  2237765         
 1998   904149  1001184   333743  2239076   1998   912613  1013533   338145  2264291         
 2000   797090   905205   340167  2042462   2000   830904   942078   400140  2173122  5130632
 2002   798375   930125   478950  2207450   2002   799653   925485   504042  2229180         
 2004   856075   976280   607789  2440144   2004   914264  1055252   673815  2643331         
 2006   847490  1003977   681841  2533308   2006   854228  1014690   699483  2568401         
 2008   957895  1061591   779904  2799390   2008  1022252  1118587   846612  2987451         
 2010  1001256  1119389   982231  3102876   2010  1002937  1131802  1011679  3146418  6392017
 2012   935098  1113123  1025634  3100575   2012   952931  1120992  1023603  3124712         
 2014   944665  1152444  1122723  3247146   2014   936417  1157811  1114713  3235963         
 2016  1019050  1185023  1164373  3400611   2016  1091323  1239614  1219277  3588466         
 2018  1090310  1258994  1223219  3610377   2016  1090310  1258994  1223219  3610377         
