"Report Date/Time: 10/30/2012 03:03 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","","","","Page Number 1"
"","","","","","","","2012 General Election - November 6, 2012","","","","","","",""
"","","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","","",""
"","","","","","","ACTIVE","","","","","","","",""
"","","Precincts","Date/Period","","","","","","","","","","Other","TOTAL"
"","","","","Americans ","","","","Democratic","Green","Libertarian","Republican","Write-In","",""
"","","","","*","","","","26,458","30","157","6,949","*","",""
"","Apache","45","G.E. 2010","","","","","","","","","","10,457","44,051"
"","","","","0","","","","25,836","35","152","7,354","*","",""
"","","45","P.E. 2012","","","","","","","","","","11,221","44,598"
"","","","","0","","","","26,529","37","164","7,597","*","",""
"","","45","G.E. 2012","","","","","","","","","","11,541","45,868"
"","","","","*","","","","23,438","137","334","29,097","*","",""
"","Cochise","64","G.E. 2010","","","","","","","","","","24,471","77,477"
"","","","","5","","","","22,287","135","337","29,706","*","",""
"","","49","P.E. 2012","","","","","","","","","","26,437","78,907"
"","","","","8","","","","22,577","136","365","30,257","*","",""
"","","49","G.E. 2012","","","","","","","","","","27,029","80,372"
"","","","","*","","","","27,645","259","817","18,433","*","",""
"","Coconino","85","G.E. 2010","","","","","","","","","","21,651","68,805"
"","","","","1","","","","25,397","222","760","17,722","*","",""
"","","71","P.E. 2012","","","","","","","","","","20,764","64,866"
"","","","","2","","","","26,855","249","811","18,624","*","",""
"","","71","G.E. 2012","","","","","","","","","","23,057","69,598"
"","","","","*","","","","11,800","23","152","11,143","*","",""
"","Gila","39","G.E. 2010","","","","","","","","","","7,041","30,159"
"","","","","0","","","","11,315","27","154","11,880","*","",""
"","","39","P.E. 2012","","","","","","","","","","8,239","31,615"
"","","","","1","","","","11,369","30","161","12,121","*","",""
"","","39","G.E. 2012","","","","","","","","","","8,479","32,161"
"","","","","*","","","","6,823","3","56","7,340","*","",""
"","Graham","18","G.E. 2010","","","","","","","","","","3,348","17,570"
"","","","","1","","","","5,949","4","43","7,122","*","",""
"","","22","P.E. 2012","","","","","","","","","","3,518","16,637"
"","","","","0","","","","6,009","4","49","7,514","*","",""
"","","22","G.E. 2012","","","","","","","","","","3,676","17,252"
"","","","","*","","","","2,443","4","22","1,013","*","",""
"","Greenlee","8","G.E. 2010","","","","","","","","","","721","4,203"
"","","","","0","","","","2,250","4","18","1,038","*","",""
"","","8","P.E. 2012","","","","","","","","","","887","4,197"
"","","","","0","","","","2,283","3","21","1,091","*","",""
"","","8","G.E. 2012","","","","","","","","","","964","4,362"
"","","","","*","","","","2,688","11","28","3,171","*","",""
"","La Paz","12","G.E. 2010","","","","","","","","","","2,790","8,688"
"","","","","1","","","","2,653","18","30","3,445","*","",""
"","","12","P.E. 2012","","","","","","","","","","3,474","9,621"
"","","","","1","","","","2,659","18","26","3,499","*","",""
"","","12","G.E. 2012","","","","","","","","","","3,554","9,757"
"","","","","*","","","","541,711","2,427","15,599","703,288","*","",""
"","Maricopa","1,142","G.E. 2010","","","","","","","","","","588,931","1,851,956"
"","","","","119","","","","505,673","2,425","13,822","688,311","*","",""
"","","724","P.E. 2012","","","","","","","","","","622,879","1,833,229"
"","","","","155","","","","509,540","2,396","13,721","685,627","*","",""
"","","724","G.E. 2012","","","","","","","","","","606,393","1,817,832"
"","","","","*","","","","28,210","113","560","46,663","*","",""
"","Mohave","73","G.E. 2010","","","","","","","","","","40,792","116,338"
"","","","","3","","","","24,361","105","550","45,729","*","",""
"","","73","P.E. 2012","","","","","","","","","","41,225","111,973"
"","","","","7","","","","24,911","115","577","47,134","*","",""
"","","73","G.E. 2012","","","","","","","","","","42,766","115,510"
"","","","","*","","","","24,815","45","391","18,274","*","",""
"","Navajo","70","G.E. 2010","","","","","","","","","","14,177","57,702"
"","","","","0","","","","24,282","55","352","18,710","*","",""
"","","60","P.E. 2012","","","","","","","","","","15,229","58,628"
"","","","","1","","","","24,435","56","342","19,134","*","",""
"","","61","G.E. 2012","","","","","","","","","","15,579","59,547"
"","","","","*","","","","187,259","1,250","3,956","151,502","*","",""
"","Pima","417","G.E. 2010","","","","","","","","","","142,730","486,697"
"","","","","31","","","","175,720","1,229","3,391","148,794","*","",""
"","","288","P.E. 2012","","","","","","","","","","140,620","469,785"
"","","","","38","","","","186,040","1,296","3,643","154,358","*","",""
"","","288","G.E. 2012","","","","","","","","","","150,272","495,647"
"","","","","*","","","","52,656","180","972","54,000","*","",""
"","Pinal","88","G.E. 2010","","","","","","","","","","56,484","164,292"
"","","","","9","","","","46,344","178","945","53,643","*","",""
"","","102","P.E. 2012","","","","","","","","","","59,143","160,262"
"","","","","14","","","","44,623","177","906","52,118","*","",""
"","","102","G.E. 2012","","","","","","","","","","55,218","153,056"
"","","","","*","","","","11,536","27","140","3,825","*","",""
"","Santa Cruz","24","G.E. 2010","","","","","","","","","","6,616","22,144"
"","","","","0","","","","11,925","31","128","3,974","*","",""
"","","24","P.E. 2012","","","","","","","","","","7,414","23,472"
"","","","","0","","","","12,227","29","128","4,056","*","",""
"","","24","G.E. 2012","","","","","","","","","","7,622","24,062"
"","","","","*","","","","28,230","261","851","53,793","*","",""
