  District  Precincts   Democratic     Green   Libertarian   Republican  Other   Total  
A_Gila      17          3178           20      131           9993        4993    18315  
A_La_Paz    11          2222           15      39            3823        3574    9673   
A_Maricopa  16          5598           35      244           13768       9836    29481  
A_Mohave    22          20292          153     747           53826       44397   119415 
A_Pinal     41          19193          137     827           35564       35473   91194  
A_Yavapai   38          22496          234     910           55769       37903   117312 
A_Yuma      15          7158           15      243           14043       11954   33413  
A_Total     160         80137          609     3141          186786      148130  418803 
I_Gila      17          613            6       29            1288        1322    3258   
I_La_Paz    11          498            7       9             591         909     2014   
I_Maricopa  16          375            5       16            771         913     2080   
I_Mohave    22          5783           41      171           7976        13748   27719  
I_Pinal     41          1649           10      75            2327        3800    7861   
I_Yavapai   38          2673           51      192           5502        7121    15539  
I_Yuma      15          2016           10      78            3055        4309    9468   
I_Total     160         13607          130     570           21510       32122   67939  
